Average Episodic Reward,Average Episodic N-Reward
14467.778423364509,14467.778423364509
14751.250898789649,14751.250898789649
14592.776269540132,14592.776269540132
14614.224888606917,14614.224888606917
14583.995054967294,14583.995054967294
14438.942204563147,14438.942204563147
14616.827427892138,14616.827427892138
14362.661828215423,14362.661828215423
14615.571242146136,14615.571242146136
14490.509881421624,14490.509881421624
14461.527965541924,14461.527965541924
14625.275856887247,14625.275856887247
14563.826192900215,14563.826192900215
14652.897129680914,14652.897129680914
14487.058608988651,14487.058608988651
14606.571120405348,14606.571120405348
14606.84068421608,14606.84068421608
14532.923304751423,14532.923304751423
14606.623858675293,14606.623858675293
14491.17361811069,14491.17361811069
14466.172141154913,14466.172141154913
14474.610198275193,14474.610198275193
14703.447986550149,14703.447986550149
14517.63038288703,14517.63038288703
14661.286755841295,14661.286755841295
14414.166637605656,14414.166637605656
14714.457863328744,14714.457863328744
14529.344358944565,14529.344358944565
14428.131600369892,14428.131600369892
14628.143655795086,14628.143655795086
14566.012764652292,14566.012764652292
14642.435798613082,14642.435798613082
14630.38393341294,14630.38393341294
14512.992050655092,14512.992050655092
14461.224892014387,14461.224892014387
14509.900708060562,14509.900708060562
14532.954603531512,14532.954603531512
14531.239517587755,14531.239517587755
14538.42219567196,14538.42219567196
14525.746611975339,14525.746611975339
14596.27558893026,14596.27558893026
14526.702620839353,14526.702620839353
14469.870924627345,14469.870924627345
14576.177060584449,14576.177060584449
14501.893126330586,14501.893126330586
14637.602093312384,14637.602093312384
14524.477229450385,14524.477229450385
14527.671487003628,14527.671487003628
14614.617488763834,14614.617488763834
14543.308387138155,14543.308387138155
14505.03985721928,14505.03985721928
22290.92804600513,22290.92804600513
17386.878999709854,17386.878999709854
15884.053599649253,15884.053599649253
16491.023273731145,16491.023273731145
19642.465380087426,19642.465380087426
17012.89382456947,17012.89382456947
16097.818599094091,16097.818599094091
17261.45614892334,17261.45614892334
17918.105914693515,17918.105914693515
16911.449133956503,16911.449133956503
16959.690625215946,16959.690625215946
17301.3082291476,17301.3082291476
17444.68491670322,17444.68491670322
17268.699631235788,17268.699631235788
17179.02170097374,17179.02170097374
17541.91223364111,17541.91223364111
17094.964834838473,17094.964834838473
17093.698146335126,17093.698146335126
16893.731518735025,16893.731518735025
17105.036846227773,17105.036846227773
17318.527996154222,17318.527996154222
17197.08442799465,17197.08442799465
17324.2470617758,17324.2470617758
16854.016047537196,16854.016047537196
16985.6567309716,16985.6567309716
17189.93975062397,17189.93975062397
16906.718182701905,16906.718182701905
17069.287224170937,17069.287224170937
16650.116515100402,16650.116515100402
17091.0482074917,17091.0482074917
17104.112887251595,17104.112887251595
17102.284747800364,17102.284747800364
17060.6573333123,17060.6573333123
17398.35835148293,17398.35835148293
17133.3294816325,17133.3294816325
16989.002801444447,16989.002801444447
16804.204753040623,16804.204753040623
16718.59545817579,16718.59545817579
16696.336029097547,16696.336029097547
17191.82058364049,17191.82058364049
16947.285851085395,16947.285851085395
17039.49869837919,17039.49869837919
17250.185307716238,17250.185307716238
16941.140174318673,16941.140174318673
16962.798181841204,16962.798181841204
17138.62610213803,17138.62610213803
17281.875510548834,17281.875510548834
17046.69287177865,17046.69287177865
17176.75303893851,17176.75303893851
